theme,match_hindi,match_french,Total,responses_hindi (%),responses_french (%)
anatomy,4,5,21,19.05,23.81
contact lenses,1,0,3,33.33,0.0
cornea,2,4,10,20.0,40.0
cornea/lens,1,1,1,100.0,100.0
embryology,0,1,2,0.0,50.0
genetics,0,0,2,0.0,0.0
glaucoma,2,3,9,22.22,33.33
glaucoma/uveitis,0,0,1,0.0,0.0
lens/cataract,5,4,8,62.5,50.0
low vision,1,1,1,100.0,100.0
neuro-ophthalmology,3,3,7,42.86,42.86
ocular plastic surgery,6,3,16,37.5,18.75
oncology,0,0,1,0.0,0.0
oncology/ocular plastic surgery,0,0,3,0.0,0.0
optics,0,0,1,0.0,0.0
optics/refraction,0,0,1,0.0,0.0
pharmacology,4,4,9,44.44,44.44
pharmacology/glaucoma,0,0,1,0.0,0.0
refraction,10,12,31,32.26,38.71
refraction/low vision,0,0,2,0.0,0.0
refractive surgery,2,1,2,100.0,50.0
retina,2,5,12,16.67,41.67
retina/oncology,0,0,1,0.0,0.0
strabismus,3,6,11,27.27,54.55
uveitis,2,2,8,25.0,25.0
